Species	CommonName	Habitat	Protein	Vertebrate	MoveVert	p50	deltaH
Lopholithodes foraminatus	brown box crab 	benthic	hc	invertebrate	no	4.8	-36.15225494
Limulus polyphemus	Atlantic horseshoe crab	benthic	hc	invertebrate	no	0.9	-30.40075983
Metacarcinus gracilis	graceful rock crab	benthic	hc	invertebrate	no	2.9	-39.43882356
Stenoplax conspicua	chiton	benthic	hc	invertebrate	no	0.6	-47.65524514
Metacarcinus magister	Dungeness crab	benthic	hc	invertebrate	no	1.7	-24.23844365
Eurytium albidigitum	crab	benthic	hc	invertebrate	no	0.4	-49.29852945
Metacarcinus anthonyi	yellow rock crab	benthic	hc	invertebrate	no	3.1	-14.78955884
Haliotus corrugata	pink abalone	benthic	hc	invertebrate	no	1	-48.47688729
Thunnus maccoyii	southern bluefin tuna	pelagic	hb	vertebrate	yes	2.9	28.60371247
Todarodes sagittatus	European flying squid	pelagic	hc	invertebrate	yes	7.8	-31.969319
Architeuthis dux	giant squid	pelagic	hc	invertebrate	yes	9.5	-77.49870504
Loligo vulgaris	European squid	pelagic	hc	invertebrate	yes	4.1	-60.6726551
Doryteuthis pealeii	longfin inshore squid	pelagic	hc	invertebrate	yes	2.2	-43.66310744
Octopus vulgaris	common octopus	benthic	hc	invertebrate	no	2.5	-41.88526
Enteroctopus dofleini	giant Pacific octopus	benthic	hc	invertebrate	no	1.4	-59.84118363
Pagothenia borchgrevinki 	bald notothen	pelagic	hb	vertebrate	no	2.8	-26.56437433
Clupea harengus	Atlantic herring	pelagic	hb	vertebrate	yes	2.4	-48.78100772
Dissostichus mawsoni	Antarctic toothfish	pelagic	hb	vertebrate	yes	1.9	-6.370434837
Neotrypaea californiensis	Bay ghost shrimp	benthic	hc	invertebrate	no	0.9	-34.1613947
Glyphocrangon vicaria	deep sea shrimp	benthic	hc	invertebrate	no	1.3	-62.82954642
Busycon canaliculatus	channeled whelk	benthic	hc	invertebrate	no	0.5	-46.41003352
Forsterygion malcolmi	mottled triplefin	benthic	hb	vertebrate	no	5.8	-17.67166585
Forsterygion varium	variable triplefin	benthic	hb	vertebrate	no	7.2	-7.327065455
Grahamina capito	spotted triplefin	benthic	hb	vertebrate	no	5.4	-15.25107357
Thunnus thynnus	Atlantic bluefin tuna	pelagic	hb	vertebrate	yes	3.1	13.37459144
Abarenicola affinis	intertidal lugworm	benthic	hb	invertebrate	no	0.6	-35.9350652
Scomber japonicus	chub mackerel	pelagic	hb	vertebrate	yes	2.58	18.59106249
Alitta virens	sandworm	benthic	hb	invertebrate	no	0.266666667	-61.21553351
Myliobatis californica	bay ray	benthic	hb	vertebrate	no	0.8	-24.92875445
Nautilus pompilius	nautilus	pelagic	hc	invertebrate	yes	2.253333333	-41.13772649
Acipenser medirostris	green sturgeon	pelagic	hb	vertebrate	yes	1.44	-61.21553351
Palaemon elegans	intertidal prawn	benthic	hc	invertebrate	no	1.03	12.85430085
Hyas coarctatus	arctic lyre crab	benthic	hc	invertebrate	no	5.29	-34.85573734
Hyas araneus	great spider crab	benthic	hc	invertebrate	no	3.76	30.27239565
Scophthalmus maximus	turbot	benthic	hb	vertebrate	no	0.94	15.80487769
Goneplax rhomboides	angular crab	benthic	hc	invertebrate	no	0.55	-63.91
Atelecyclus rotundatus	circular crab	benthic	hc	invertebrate	no	0.75	-14.5
Liocarcinus depurator	sandy swimming crab	benthic	hc	invertebrate	no	3.24	-7.2
Cephaloscyllium isabellum	draughtsboard shark	benthic	hb	vertebrate	no	0.546666667	-46.93221689
Terebella haplochaeta	intertidal polychaete	benthic	hb	invertebrate	no	0.546666667	-66.7808211
Thunnus obesus	bigeye tuna	pelagic	hb	vertebrate	yes	2.12	-17.01941954
Katsuwonus pelamis	skipjack tuna	pelagic	hb	vertebrate	yes	3.07	1.456402069
Thunnus albacares	yellowfin tuna	pelagic	hb	vertebrate	yes	2.72	-0.809389937
Dosidicus gigas	jumbo squid	pelagic	hc	invertebrate	yes	1.42	-103.1305512
Carcinus maenus	european shore crab	benthic	hc	invertebrate	no	2.1	-29.52371009
Acanthephyra smithi	shrimp migrator	pelagic	hc	invertebrate	yes	1.4	-22.18813512
Acanthephyra acutifrons	shrimp non-migrator	pelagic	hc	invertebrate	no	1.5	-9.961370464
Oplophorus gracilirostris	shrimp migrator	pelagic	hc	invertebrate	yes	1.1	-35.28404829
Acanthephyra curtirostris	shrimp non-migrator	pelagic	hc	invertebrate	no	1.1	-17.97855934
Systellaspis debilis	shrimp migrator	pelagic	hc	invertebrate	yes	1.6	-27.35052076
Gnathophausia ingens	mysid	pelagic	hc	invertebrate	no	0.28	-2.347420427
Megaleledone setebos	Antarctic octopod	benthic	hc	invertebrate	no	0.98	-7.417521167
Sepia officinalis	common cuttlefish	benthic	hc	invertebrate	no	6.5	-14.06586525
Euphausia superba	antarctic krill	pelagic	hc	invertebrate	yes	8.15	-109.2682079
Meganyctiphanes norvegica	northern krill	pelagic	hc	invertebrate	yes	2.43	132.2479782
